Wall time,Step,Value
1600672148.0932953,2522,0.0028520349878817797
1600672747.9802246,4513,0.005167342256754637
1600673347.3195245,6523,0.002564861671999097
1600673948.4294682,8537,0.0014199730940163136
1600674548.2642963,10557,0.0012624718947336078
1600675146.6129823,12585,0.007340322248637676
1600675750.1008728,14617,0.031403932720422745
1600676347.9845557,16630,0.043548449873924255
